kdo,268,270,278,279,280,285,288,292,295,296,300,301,303,304,305,307,308,309,311,317,320,322,323,325,335,336,342,343,344,348,349,353,354,355,356,357,358,363,364
(H)Roznata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Agna fr. Petrus,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albertus,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albertus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Albrandus,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Albrich,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alwik,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andreas,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andres miles,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Arnust,,,,,číšník biskupa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawor,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,?,,,,,,,,,,
Bel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Ben fr. Budiwoy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,1,,
Beneda fil. Stibor fr. Oldrichus,,,1,1,,,,?,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Benes fil. Hermani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,
Benich miles fil Domaslaus,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,?,
Bernhardus,,,,,,,,,,,,,,,,1,1,,,,,,,,,?,,,,,,,,,,,,,
Berthol de Leysin,,,,,,,,,,1,,,,,,,,,,,,,,,,?,,,,,,,,,,?,?,,
Bertold,1,,,,,,,,,,,,,,,,,,,,,,,,,?,,,,,,,,,,?,?,,
Berwin,,,,,maršálek biskupa,,,,,,,,,,,,,,,,,,,číšník biskupa,číšník biskupa,,,,,,,,,,,,,,
Blascus fr. Derzislaus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Blego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Blegone,,,,litoměřický kastelán,litoměřický kastelán,litoměřický kastelán,,,,,litoměřický kastelán,litoměřický kastelán,,,litoměřický kastelán,,,,,litoměřický kastelán,,,,,,litoměřický kastelán,litoměřický kastelán,,,,,,,,,,,,
